url;name;location;city;given_name;given_address;given_city
https://www.zomato.com/jaipur/sagar-ratna-mansarovar;chatoraz;Mansarovar;Jaipur;Chatoraz;Mansarovar,Jaipur,Gujarat-313001,;Jaipur
https://www.zomato.com/mysore/mysore-nandhini-family-restaurant-mandi-mohalla;antique family restaurant;None;Mysuru;Antique Family Restaurant;Mysore ,India;Mysore
https://www.zomato.com/ahmedabad/sanskrut-navrangpura;sanskrut;None;Ahmedabad;Sanskrut;Ahmedabad,India;Ahmedabad
https://www.zomato.com/ncr/kafe-fontana-taj-palace-hotel-chanakyapuri-new-delhi;kafe;None;Gurgaon;Kafe;Gurgon;Gurgon
https://www.zomato.com/ncr/canteeno-laxmi-nagar-new-delhi;canteeno;None;New Delhi;canteeno;D-61 Street - 3 opposite Metro pillar 31 LaxmiNagar , New Delhi-110092, India;Delhi
None;dcrcaterings;None;None;dcrcaterings;Al fazar - 3, Nuaimiya 1, Near Time car wash, Ajman, UAE, Ajman, India;Ajman
https://www.zomato.com/ahmedabad/china-hut-paldi;china hut;None;Ahmedabad;China Hut;Ahmedabad,India;Ahmedabad
https://www.zomato.com/hyderabad/kritunga-restaurant-ameerpet;cafee area;Ameerpet;Hyderabad;cafee area;ameerpet;Hyderabad
https://www.zomato.com/ncr/burger-in-adchini-new-delhi;burger.in;None;New Delhi;Burger.in | 9911992694;84, Adchini, near Hero Honda showroom New Delhi- 110017;South Delhi
https://www.zomato.com/ncr/paapi-paet-malviya-nagar-new-delhi;paapi paet;Laxmi Bai Nagar;New Delhi;Paapi Paet | 9873515806;E5/1 shop no.5 Malviya Nagar\nNew Delhi- 110017;South Delhi
https://www.zomato.com/ncr/paapi-paet-malviya-nagar-new-delhi;paapi paet malviya nagar;Laxmi Bai Nagar;New Delhi;paapi paet malviya nagar;E5/1 shop no.5 malviya nagar\nnew delhi- 110017;South Delhi
None;shubchat;None;Kanpur;shubchat;30/62 etawah bazar, kanpur, India;kanpur
https://www.zomato.com/hyderabad/tung-kein-somajiguda;tung kein;Somajiguda;Hyderabad;Tung Kein;rajbhavan road, somajiguda, Hyderabad,,India,500082,Hyderabad,,India,500082;Hyderabad
https://www.zomato.com/ahmedabad/patang-the-revolving-restaurant-ashram-road;gossips restaurant;None;Ahmedabad;Gossips Restaurant;Ahmedabad;Ahmedabad
https://www.zomato.com/ncr/rajinder-da-dhaba-safdarjung-new-delhi;rajinder da dhaba;Safdarjung Enclave;New Delhi;Rajinder Da Dhaba | Safdarjung Enclave | 9213202619;AB 14, Safdarjung Enclave, New Delhi;Delhi
None;pineapple cater;None;Bhopal;pineapple cater;Bhopal, bhopal, India;Bhopal
https://www.zomato.com/chandigarh/sunny-special-kharar-road-mohali;amaretto chef club;Sunny Enclave;Chandigarh;Amaretto Chef Club;National Highway 95, Chandigarh-Ludhiana Highway, Sahibzada Ajit Singh Nagar, Punjab 140413, Mohali, India;Mohali
https://www.zomato.com/chennai/nite-bite-saidapet;alarabiandelights;Saidapet;Chennai;Alarabiandelights;no43,mosque st west saidapet,Chennai,,India,600015;Chennai
None;bluemoonrestaurant;None;Ahmedabad;BlueMoonRestaurant;Ahmedabad;Ahmedabad
https://www.zomato.com/chennai/al-shafin-multi-cuisine-restaurant-perungudi;moroccan multi cuisine restaurant;Porur;Chennai;Moroccan Multi Cuisine Restaurant;No-54/5,PKR Complex,Trunk Road,Porur,Chennai,,India,600116;Chennai
https://www.zomato.com/ahmedabad/crazy-noodles-prahlad-nagar;crazy guys town;None;Ahmedabad;Crazy Guys Town;Ahmedabad;Ahmedabad
https://www.zomato.com/bangalore/snack-knack-btm;food and snack;BTM Layout;Bengaluru;Food And Snack;13/1, 10th Cross, Bommanahalli, - 560068;Bangalore
https://www.zomato.com/ncr/oye-punjabis-lajpat-nagar-4-new-delhi;oye kaku;Laxmi Nagar;New Delhi;oye kaku;AA-40-B , LAXMI NAGAR, NEW DELHI, India;Delhi
https://www.zomato.com/lucknow/jeewan-saathi-restaurant-husain-ganj;bawarchi delite;Baraura Hussain Bari;Lucknow;Bawarchi Delite | 91- 9927532225;VC1, Sec 3, , Ghaziabad;Vaishali
None;best western  jagdish;Jayanagara Jaya Nagar;Bengaluru;Best Western  Jagdish;No 51, old no 664, 11th main, Jayanagar 4th block;Bangalore
None;magicofmysore;Jayalakshmipuram;Mysuru;magicofmysore;Jayalakshmipuram, Mysore, India;Mysore
None;foodplus;Jayanagara Jaya Nagar;Bengaluru;FOODPLUS;Byrasandra main road, Jayanagar, , Bangalore;Bangalore
None;ranjit sahoo;Juhapura;Ahmedabad;RANJIT SAHOO;A 301, SAKSHAT APARTMENT, BAKERI CITY,, ahmedabad, India;Ahmedabad
https://www.zomato.com/ncr/srs-7-dayz-food-court-sector-12-faridabad;srs7 dayz;None;Faridabad;SRS7 DAYZ | 7042845151;SRS Mall sector-12 1st floor city centre faridabad, 121007;Faridabad
None;palak restaurant;None;Jodhpur;PALAK RESTAURANT;Seth Raghunath parihar Dharmshala,Jodhpur;Seth Raghunath parihar Dharmshala,Jodhpur
None;saibalaji;None;Hyderabad;saibalaji;utyuty, hyderabad, India;Hyderabad
None;happy reasturants;Indirapuram;Ghaziabad;Happy Reasturants ;indrapuram Ghaziabad,Ghaziabad,,India,201102;Ghaziabad
None;tunday kababi;Panchsheel Park;New Delhi;Tunday Kababi | 9650533945;489/55/4, corner market, main road Malviya Nagar, New delhi 110017;South Delhi
https://www.zomato.com/ncr/rahul-eggs-lawrence-road-new-delhi;rahul;Chhawla;New Delhi;rahul;chhawla village, new delhi, India;Delhi
None;petesplace;West Marredpally;Secunderabad;PetesPlace;Plet #2 Shobana Colony West Marredpally Secunderabad 500026;Secunderabad
