min,max,avg
1,3,1.148936170212766
1,1,1.0
1,13,3.730769230769231
1,2,1.0476190476190477
1,3,1.1176470588235294
1,2,1.0514705882352942
1,2,1.0307692307692307
1,4,1.2538071065989849
1,3,1.053763440860215
1,2,1.0588235294117647
1,2,1.0566037735849056
1,1,1.0
1,1,1.0
1,1,1.0
1,3,1.1041666666666667
1,2,1.0973451327433628
1,3,1.2085889570552146
1,50,2.512437810945274
1,3,1.132701421800948
1,6,1.450281425891182
1,2,1.0909090909090908
1,6,1.8816029143897997
1,1,1.0
1,1,1.0
1,3,1.1142857142857143
1,1,1.0
1,5,1.2097560975609756
1,1,1.0
1,4,1.2225705329153604
1,1,1.0
1,2,1.1904761904761905
1,2,1.08
1,1,1.0
1,5,1.4516129032258065
1,1,1.0
1,7,1.4833333333333334
1,1,1.0
1,4,1.3094629156010231
1,1,1.0
1,2,1.0444444444444445
1,2,1.08
1,2,1.03125
1,2,1.1111111111111112
1,1,1.0
1,4,1.0555555555555556
1,5,1.25
1,2,1.0769230769230769
1,1,1.0
1,2,1.0461538461538462
1,1,1.0
1,1,1.0
1,3,1.1204819277108433
1,2,1.0987654320987654
1,7,1.380952380952381
1,2,1.0476190476190477
1,3,1.3333333333333333
1,9,1.1979522184300342
1,2,1.25
1,1,1.0
1,1,1.0
1,1,1.0
1,4,1.197674418604651
1,2,1.0526315789473684
1,1,1.0
1,2,1.0769230769230769
1,3,1.1777777777777778
1,5,1.5384615384615385
1,2,1.0731707317073171
1,4,1.3864168618266979
1,2,1.0344827586206897
1,2,1.1111111111111112
1,3,1.0638297872340425
1,2,1.0434782608695652
1,3,1.0649350649350648
1,1,1.0
1,5,1.2637362637362637
1,12,1.2586872586872586
1,1,1.0
1,3,1.163265306122449
1,4,1.2549019607843137
1,2,1.0574712643678161
1,2,1.0625
1,3,1.4074074074074074
1,1,1.0
1,1,1.0
1,5,1.305263157894737
1,4,1.4146341463414633
1,1,1.0
1,3,1.084848484848485
1,5,1.52
1,1,1.0
1,2,1.0476190476190477
1,3,1.5
1,3,1.1
1,1,1.0
1,3,1.103225806451613
1,3,1.2
1,3,1.3333333333333333
1,4,1.2852564102564104
1,1,1.0
1,1,1.0
1,2,1.0909090909090908
1,3,1.1306818181818181
1,5,1.299168975069252
1,3,1.0784313725490196
1,1,1.0
1,1,1.0
1,1,1.0
1,2,1.02
1,2,1.0212765957446808
1,4,1.188340807174888
