min,max,avg
1,10,4.0
1,2,1.125
8,89,48.5
1,7,2.972972972972973
1,10,4.384615384615385
1,10,3.763157894736842
1,5,2.0303030303030303
2,27,16.466666666666665
1,10,3.3793103448275863
1,5,1.945945945945946
1,5,2.5454545454545454
1,1,1.0
1,2,1.3333333333333333
1,2,1.25
1,15,5.482758620689655
1,13,5.391304347826087
1,21,10.368421052631579
2,196,21.041666666666668
1,12,5.431818181818182
1,38,20.342105263157894
1,4,1.5
17,59,39.73076923076923
1,1,1.0
1,1,1.0
1,8,4.333333333333333
1,3,1.6666666666666667
1,29,7.085714285714285
1,2,1.5
5,30,12.1875
1,3,1.6666666666666667
2,9,4.166666666666667
1,5,2.076923076923077
1,1,1.0
1,13,4.090909090909091
1,2,1.3333333333333333
1,26,8.9
1,1,1.0
1,27,15.515151515151516
1,1,1.0
1,5,1.88
1,6,3.0
1,4,1.9411764705882353
1,4,1.8181818181818181
1,2,1.3
1,7,2.878787878787879
1,11,2.9411764705882355
1,5,2.8
1,2,1.1111111111111112
1,9,2.9565217391304346
1,1,1.0
1,2,1.3333333333333333
1,10,2.8181818181818183
1,8,3.56
1,16,5.8
1,7,2.972972972972973
2,9,4.0
2,29,9.236842105263158
2,8,5.0
1,1,1.0
1,1,1.0
5,5,5.0
1,18,8.583333333333334
1,3,2.5
1,1,1.0
1,4,1.4
1,10,3.1176470588235294
1,12,3.3333333333333335
1,6,2.3157894736842106
2,30,14.095238095238095
1,4,1.4285714285714286
1,4,1.6666666666666667
1,8,3.125
1,8,2.1818181818181817
1,6,2.342857142857143
1,1,1.0
1,19,8.846153846153847
1,42,7.086956521739131
1,5,1.7777777777777777
1,11,5.181818181818182
1,20,6.193548387096774
1,8,3.68
1,9,2.6153846153846154
1,15,3.4545454545454546
1,2,1.25
1,3,1.5454545454545454
1,28,11.272727272727273
2,29,14.5
1,2,1.4285714285714286
1,13,6.62962962962963
4,40,22.166666666666668
1,1,1.0
1,5,2.2
2,26,14.25
1,8,4.0
1,2,1.25
1,11,4.384615384615385
1,14,6.0
1,8,2.6666666666666665
2,26,14.321428571428571
1,3,1.2857142857142858
1,5,1.8571428571428572
1,4,1.411764705882353
