no. of reviews,restaurant_name
108,preeti ice cream & foods
9,mallige residency
97,big brew bus
110,epicurean alley
228,tomatina
143,punjabi chaskkaa
67,silver chimney
247,hungerguides
98,hotel moti mahal
72,the caspian indiana restaurant
56,numeron restaurant
3,havrmor fun flavours
4,oui steak and bistro
5,scoop n spoon
159,crazy guys town
124,aasife & brothers biryani centre
197,the project cafe
505,aam aadmi pakwaan
239,lighthouse13
773,persian darbar
24,rawalnath resto bar
1033,masala
3,zaika family restaurant
2,chaat&chilli
78,amazo
10,king of snacks
248,chicken leaf restaurant
3,hungry birds - omg group
390,that place
10,kulcha guru
25,bob's treat
27,silbatta
3,hotel shahi palace
45,splits villa
4,durlabha delights
89,aromacup restro
4,food point
512,egc global foods
1,hariyali restaurant
47,the lunch box
54,hyderabadi biryani utsav
33,southern india restaurant
20,rivaaz
13,shree hi gas lines
95,mehman restaurent
50,3 octaves global dine
14,burger
10,pandab daripa
68,barsana
1,mahek restaurant
4,hotel ritz
93,mayur
89,hamidullah khan
58,the pindi
110,alley restaurent
24,pasumai restaurant (pure veg)-
351,restaurant
10,orel inn
2,ghar ka khana
4,my choice fast food center
5,celestia
103,the breakfast bite
20,sanskrut
5,food step
14,windys family restaurant
53,cafe @ mj
20,abcbiryani
44,salsa caterers
592,barbeque factory
30,prince ki rasoi
10,taste of nawaab
100,tapan raj
72,smallbite
82,meritorious restaurant
3,chatar patar
230,kitchari katering
326,the chef
48,tung kein
114,paapi paet
192,ab rest
92,jubilee pan shop
68,china chef
38,sj spicy
5,foodies hut
34,ashray hotel
248,svenska design hotel
58,khaan saab
10,spice nation the family restaurant
179,al's meats
798,bawarchi
2,mohanthal dining hall
66,daras dhaba
57,fat panda
88,chick inn
5,pizza lovers
171,black salt restaurant
42,jugaad kitchen
24,m o m o m a n
401,hmkfood
9,king's court
52,wah ji wah saket
24,singh caterers and decorators
199,fishland restaurant
469,qwiches
110,archana restaurant
3,gupta's bawarchi restaurant
1,sai kripa caterers
4,yuvi the cafe
51,deena divine dine
48,raj restaurant
265,dakshinayan
55,radha ki rasoi
65,urban pind
60,leaf restaurant by hotel riverview
18,la cuisine
28,food maple
154,kafe
4,bridge water
151,beijing bistro
67,fire 'n' grill
2,hotel amritsar punjabi
168,vishnuji ki rasoi
5,ayush caterers
10,the bridge water restaurant
25,red scooter
25,food on way
86,royal brunei furniture
10,egg dee
115,beliram degchiwala
70,lakhu da dhaba
1,hotel aryaas
10,antique family restaurant
127,wagh bakri
93,mayur thali and snacks
231,om sai caterers
107,patio games n grillz
2,madurai meenakshi appalam
96,dadi k paranthe
1,just biryani
35,highland park
24,sangai caterers
1,hotel landmark
25,shivam snacks
52,aman hotel and restaurant
35,shree kateeleshwari kitchen equipment
1518,rajinder da dhaba
111,scooter on the wall
99,suchita foods
10,devan spices
242,veg gulati restaurant
3,tadke pe tadka
60,yours truly
159,wtz online food booking
32,bhakti hospitality solutions
15,zappfresh - fresh meat
75,annapurva caterers
24,aask
158,oyefood
10,bamboo garden
157,sharma dhaba
1,shree sadguru krupa enterprises
9,satyam caterers
5,chhel chhabila
27,chatoraz
3,celebration
291,lebanese junction
29,avalon hotel
62,tandoori delights
150,ikobo sizzlers
1,chili's treat
36,kholani's group of restaurants
37,jalsa restaurants
64,makrana
545,zodiac restaurant
499,nini's kitchen
174,masha
9,mister shef
191,olives restaurent
5,bawa indori
50,prithvi hotels
2,smo lite
3,shri jalaram caterers
29,crunchy munchy
113,calcutta  biryani
15,coastal cuisine
4,night rider
15,one10 the restaurant
1,d shahi khazana
3,taste of telangana
3,sri sai ram industries
100,vietnamese kitchen
15,car b que
95,eatology
3,radha kishan pavithr bhojnalay & tiffin center
34,let's eat meat
79,the yellow chilli
28,silver apple
100,the green pearl
81,aasife brothers
50,rudu kathiawad
673,kaidi kitchen
48,mavericks
68,38 bangkok street - pure veg restaurant
2,anytimefood
229,moets catering services
378,caters
79,season 9
76,south cafe
28,damadhish
20,viveks food box
15,hyderabad spice
94,mingo foods india pvt
1,raja caterers
266,bottlestories
24,sangam caterers
5,swad restaurant
67,singh foods
516,sanjeev mittal
42,chatori street
23,srs7 dayz
107,kerala kitchen
5,catering
67,arabian delites lebanese food south delhi
217,soulfiesta
30,hungrooz
342,70 degree east
25,awesome kitchen
129,cozinha de goa
1,the chaat m3
19,moroccan multi cuisine restaurant
49,beans and leaves
30,kamal
39,marhaba elite
85,shyam sweets
40,pomo's pizza - unlimited with fun
99,amaya foods
9,saroja caterers & hostels
5,alarabiandelights
23,whiskey's den
24,ajay gathiya rath
1,ganapathi caterers
170,natraj dining hall & restaurant
380,oye amritsar
5,accolade catering services
2,lunch outlet
358,rahul
74,casa bhonsle
114,paapi paet malviya nagar
35,spice and delights
546,salz resto bar
2,gonguras
545,egg fast
25,n v restuarants
10,shilpa caterings
591,peninsula restaurants
64,wow! tiffins
545,jors's restaurant
360,connie's restaurant
78,amazo bistro
95,khurana banquet & caterers
2,bawarchi delite
15,the royal spice
1261,galvizinne restaurant
83,bird on tree
88,house on fire
5,the pavilion
62,cafee area
5,dilli lajawaab
29,tawa dawat
217,ek number chaat wala
15,china hut
283,jalpaan
3,blossomms
40,south masala
5,brg heritage resort
1,trupti caterers
545,gossips restaurant
267,the black sheep bistro
1,home food services
70,ahmedabad-15 foods i the complet  hunger solution
1,food monster
369,indian superheroes
62,kritunga restaurant
10,pizza tune
2,kota castle
122,haveli
9,sharda classic
1,rain forest
575,big wong
5,food and snack
1,canteeno
149,dum pakwan- your satisfaction is our success
88,chick inn restaurant
3,kaveri restaurant
88,shwazo foods pvt
80,roti boti restaurant
