min,max,avg
1,4,1.588235294117647
1,2,1.2857142857142858
14,43,24.25
1,3,1.4285714285714286
1,5,1.7014925373134329
1,4,1.4895833333333333
1,2,1.2181818181818183
1,11,4.333333333333333
1,5,1.462686567164179
1,3,1.1612903225806452
1,3,1.435897435897436
1,1,1.0
1,2,1.3333333333333333
1,1,1.0
1,5,1.7472527472527473
1,5,1.878787878787879
1,10,2.8550724637681157
1,102,6.3125
1,7,1.7703703703703704
1,18,5.119205298013245
1,2,1.0909090909090908
1,19,9.223214285714286
1,1,1.0
1,1,1.0
1,4,1.6595744680851063
1,2,1.1111111111111112
1,9,2.1379310344827585
1,1,1.0
1,10,3.0
1,2,1.1111111111111112
1,4,1.6666666666666667
1,3,1.4210526315789473
1,1,1.0
1,8,2.3684210526315788
1,2,1.3333333333333333
1,17,2.696969696969697
1,1,1.0
1,9,3.8496240601503757
1,1,1.0
1,2,1.205128205128205
1,3,1.4594594594594594
1,2,1.03125
1,2,1.25
1,2,1.1818181818181819
1,6,1.484375
1,6,1.5151515151515151
1,2,1.1666666666666667
1,1,1.0
1,6,1.446808510638298
1,1,1.0
1,1,1.0
1,6,1.5
1,3,1.390625
1,8,2.4166666666666665
1,3,1.4285714285714286
1,4,1.7142857142857142
1,16,2.562043795620438
1,3,2.0
1,1,1.0
1,1,1.0
1,2,1.6666666666666667
1,9,2.7837837837837838
1,2,1.1764705882352942
1,1,1.0
1,2,1.1666666666666667
1,5,1.394736842105263
1,8,2.2222222222222223
1,3,1.2571428571428571
1,16,3.6770186335403725
1,2,1.1111111111111112
1,3,1.4285714285714286
1,4,1.4285714285714286
1,4,1.309090909090909
1,3,1.2238805970149254
1,1,1.0
1,9,2.5274725274725274
1,31,2.2797202797202796
1,3,1.170731707317073
1,6,1.9
1,10,2.3703703703703702
1,3,1.5333333333333334
1,5,1.4166666666666667
1,9,2.0
1,1,1.0
1,2,1.096774193548387
1,13,3.3066666666666666
2,9,5.2727272727272725
1,2,1.1111111111111112
1,6,2.057471264367816
1,14,5.28476821192053
1,1,1.0
1,3,1.2452830188679245
1,10,4.384615384615385
1,3,1.6
1,1,1.0
1,6,1.7272727272727273
1,4,2.210526315789474
1,6,1.5
1,9,3.6788990825688073
1,2,1.125
1,2,1.1304347826086956
1,2,1.0909090909090908
1,6,1.9134615384615385
1,11,3.2797202797202796
1,4,1.4102564102564104
1,1,1.0
1,1,1.0
1,1,1.0
1,3,1.3076923076923077
1,3,1.1162790697674418
1,10,2.264957264957265
1,3,1.3095238095238095
1,7,2.2413793103448274
1,3,1.25
1,3,1.6363636363636365
1,4,1.3333333333333333
1,4,1.7906976744186047
1,1,1.0
1,6,1.735632183908046
1,10,1.5952380952380953
1,1,1.0
1,7,2.1538461538461537
1,2,1.25
1,3,1.25
1,2,1.0869565217391304
1,3,1.6666666666666667
1,4,1.4576271186440677
1,2,1.25
1,6,1.796875
1,8,1.8918918918918919
1,1,1.0
1,2,1.1111111111111112
1,5,1.9538461538461538
1,6,1.5
1,6,1.8780487804878048
1,7,2.018867924528302
1,1,1.0
1,4,1.4545454545454546
1,1,1.0
1,2,1.09375
1,2,1.0909090909090908
1,1,1.0
1,2,1.0869565217391304
1,3,1.2093023255813953
1,2,1.1666666666666667
1,19,9.25609756097561
1,14,7.4
1,4,1.32
1,1,1.0
1,7,1.8615384615384616
1,1,1.0
1,5,1.6666666666666667
1,5,1.6391752577319587
1,4,1.8823529411764706
1,1,1.0
1,4,1.5
1,2,1.0434782608695652
1,6,1.595959595959596
1,1,1.0
1,7,1.8255813953488371
1,1,1.0
1,1,1.0
1,1,1.0
1,3,1.4210526315789473
1,1,1.0
1,8,3.0631578947368423
1,2,1.2083333333333333
1,3,1.2653061224489797
1,4,1.5151515151515151
1,1,1.0
1,4,1.2
1,6,1.7619047619047619
1,9,1.8823529411764706
1,10,3.061797752808989
1,13,5.670454545454546
1,6,1.9120879120879122
1,2,1.125
1,9,1.9489795918367347
1,1,1.0
1,6,1.5151515151515151
1,1,1.0
1,1,1.0
1,2,1.1153846153846154
1,9,4.185185185185185
1,2,1.0714285714285714
1,2,1.3333333333333333
1,2,1.1538461538461537
1,1,1.0
1,1,1.0
1,1,1.0
1,5,1.7857142857142858
1,2,1.25
1,3,1.2666666666666666
1,1,1.0
1,5,1.7
1,5,1.7954545454545454
1,4,1.4736842105263157
1,4,1.4285714285714286
1,7,2.076923076923077
1,4,1.3513513513513513
1,15,5.95575221238938
1,5,1.411764705882353
1,4,2.125
1,1,1.0
1,7,2.29
1,14,4.846153846153846
1,5,1.4107142857142858
1,4,1.6888888888888889
1,4,1.4736842105263157
1,2,1.1111111111111112
1,2,1.0714285714285714
1,4,1.9583333333333333
1,1,1.0
1,6,2.2735042735042734
1,2,1.0909090909090908
1,1,1.0
1,8,2.310344827586207
1,11,4.264462809917355
1,4,1.3548387096774193
1,2,1.15
1,6,1.445945945945946
1,1,1.0
1,4,1.425531914893617
1,5,1.7642276422764227
1,2,1.1538461538461537
1,10,4.120481927710843
1,10,2.272727272727273
1,11,2.4339622641509435
1,1,1.0
1,5,1.9
1,3,1.4848484848484849
1,2,1.1538461538461537
1,4,1.3448275862068966
1,4,1.5178571428571428
1,9,2.0
1,4,1.32
1,1,1.0
1,1,1.0
1,11,1.7692307692307692
1,2,1.263157894736842
1,1,1.0
1,12,3.1481481481481484
1,6,2.5165562913907285
1,1,1.0
1,1,1.0
1,10,2.958677685950413
1,4,1.574468085106383
1,6,1.9
1,2,1.09375
1,11,3.8181818181818183
1,1,1.0
1,10,3.061797752808989
1,4,1.3157894736842106
1,2,1.1111111111111112
4,29,13.744186046511627
1,6,2.064516129032258
1,10,3.061797752808989
1,11,3.5643564356435644
1,4,1.6595744680851063
1,3,1.3571428571428572
1,1,1.0
1,2,1.1538461538461537
1,21,6.567708333333333
1,5,1.6274509803921569
1,5,1.6296296296296295
1,3,1.6666666666666667
1,3,1.24
1,1,1.0
1,1,1.0
1,7,2.066666666666667
1,2,1.0714285714285714
1,7,2.193798449612403
1,1,1.0
1,3,1.3333333333333333
1,1,1.0
1,1,1.0
1,10,3.061797752808989
1,9,3.6575342465753424
1,1,1.0
1,4,1.4285714285714286
1,1,1.0
1,7,2.3207547169811322
1,3,1.24
1,1,1.0
1,1,1.0
1,4,1.6944444444444444
1,1,1.0
1,1,1.0
1,11,3.885135135135135
1,1,1.0
1,1,1.0
1,11,4.027027027027027
1,3,1.6
1,1,1.0
1,3,1.3333333333333333
1,8,1.9047619047619047
